icao,iata,name,lat,lon,elev,tz,name_ext,city,region,country
DIKO,HGO,Korhogo,9.387183,-5.556664,370.0,Africa/Abidjan,Korhogo Airport,Korhogo,, Ivory Coast
DIMN,MJC,Man,7.272069,-7.587364,335.0,Africa/Abidjan,Man Airport,Man,, Ivory Coast
DISP,SPY,San Pedro,4.746716999999999,-6.660817,27.0,Africa/Abidjan,San Pédro Airport[1],San-Pédro,, Ivory Coast
DIYO,ASK,Yamoussoukro,6.903167,-5.365581,202.0,Africa/Abidjan,Yamoussoukro Airport,Yamoussoukro,, Côte d'Ivoire
DNAA,ABV,Nnamdi Azikiwe Intl,9.006791999999999,7.263172,344.0,Africa/Lagos,Nnamdi Azikiwe International Airport,Abuja,, Nigeria
DNAK,AKR,Akure,7.246739,5.301008,347.0,Africa/Lagos,Akure Airport,Akure,, Nigeria
DNBE,BNI,Benin,6.316981,5.599503,70.0,Africa/Lagos,Benin Airport,Benin City,, Nigeria
DNCA,CBQ,Calabar,4.976019,8.347197,65.0,Africa/Lagos,Margaret Ekpo International Airport,Calabar,, Nigeria
DNEN,ENU,Enugu,6.474272,7.561961,142.0,Africa/Lagos,Akanu Ibiam International Airport,Enugu,, Nigeria
DNGU,QUS,Gusau,12.171667,6.696111,466.0,Africa/Lagos,,,,
DNIB,IBA,Ibadan,7.362458,3.978333,230.0,Africa/Lagos,Ibadan Airport,Ibadan,, Nigeria
DNIL,ILR,Ilorin,8.440211,4.493919,343.0,Africa/Lagos,Ilorin International Airport,Ilorin,, Nigeria
DNJO,JOS,Yakubu Gowon,9.639828,8.86905,1278.0,Africa/Lagos,Yakubu Gowon Airport,Jos,, Nigeria
DNKA,KAD,Kaduna,10.696025,7.320114,618.0,Africa/Lagos,Kaduna Airport,Kaduna,, Nigeria
DNKN,KAN,Mallam Aminu Intl,12.047589,8.524622,459.0,Africa/Lagos,Mallam Aminu Kano International Airport,Kano,, Nigeria
DNMA,MIU,Maiduguri,11.855347,13.08095,334.0,Africa/Lagos,Maiduguri International Airport,Maiduguri,, Nigeria
DNMK,MDI,Makurdi,7.703883,8.613939,92.0,Africa/Lagos,Makurdi Airport,Makurdi,, Nigeria
DNMM,LOS,Murtala Muhammed,6.577369,3.321156,34.0,Africa/Lagos,Murtala Muhammed International Airport,Lagos,, Nigeria
DNMN,MXJ,Minna New,9.652172,6.462256,283.0,Africa/Lagos,Minna Airport,Minna,, Nigeria
DNPO,PHC,Port Harcourt Intl,5.015494,6.949594,49.0,Africa/Lagos,Port Harcourt International Airport,Port Harcourt,, Nigeria
DNSO,SKO,Sadiq Abubakar Iii Intl,12.916322,5.207189,305.0,Africa/Lagos,Sadiq Abubakar III International Airport[1],Sokoto,, Nigeria
DNYO,YOL,Yola,9.257553,12.430422,137.0,Africa/Lagos,Yola Airport,Yola,, Nigeria
DNZA,ZAR,Zaria,11.130192,7.685805999999999,651.0,Africa/Lagos,Zaria Airport,Zaria,, Nigeria
DRRM,MFQ,Maradi,13.502531,7.126753,366.0,Africa/Niamey,Maradi Airport,Maradi,, Niger
DRRN,NIM,Diori Hamani,13.481547,2.183614,223.0,Africa/Niamey,Diori Hamani International Airport,Niamey,, Niger
DRRT,THZ,Tahoua,14.875658,5.265358,383.0,Africa/Niamey,Tahoua Airport,Tahoua,, Niger
DRZA,AJY,Manu Dayak,16.965997,8.000114,498.0,Africa/Niamey,Mano Dayak International Airport,Agadez,, Niger
DRZR,ZND,Zinder,13.778997,8.983761,455.0,Africa/Niamey,Zinder Airport,Zinder,, Niger
DTMB,MIR,Habib Bourguiba Intl,35.758056,10.754722,7.0,Africa/Tunis,Monastir Habib Bourguiba International Airport,Monastir,, Tunisia
DTTA,TUN,Carthage,36.851033,10.227217,10.0,Africa/Tunis,Tunis–Carthage International Airport,Tunis,, Tunisia
DTTF,GAF,Gafsa,34.422022,8.822503,311.0,Africa/Tunis,Gafsa – Ksar International Airport,Gafsa,, Tunisia
DTTG,GAE,Gabes,33.876919,10.103333,5.0,Africa/Tunis,Gabès – Matmata International Airport,Gabès,, Tunisia
DTTJ,DJE,Zarzis,33.875031,10.775461,9.0,Africa/Tunis,Djerba–Zarzis International Airport,Djerba,, Tunisia
DTTR,EBM,El Borma,31.704281,9.254619,242.0,Africa/Tunis,El Borma Airport,El Borma,, Tunisia
DTTX,SFA,Thyna,34.717953,10.690972,28.0,Africa/Tunis,Sfax–Thyna International Airport,Sfax,, Tunisia
DTTZ,TOE,Nefta,33.939722,8.110555999999999,81.0,Africa/Tunis,Tozeur–Nefta International Airport,Tozeur,, Tunisia
DXNG,LRL,Niamtougou International,9.767333,1.09125,464.0,Africa/Lome,Niamtougou International Airport,Niamtougou,, Togo
DXXX,LFW,Gnassingbe Eyadema Intl,6.165611,1.2545110000000002,23.0,Africa/Lome,Lomé–Tokoin Airport (Gnassingbé Eyadéma Int'l),Lomé,, Togo
EBAW,ANR,Deurne,51.189444,4.460278,10.0,Europe/Brussels,Antwerp International Airport,Antwerp,, Belgium
EBBR,BRU,Brussels Natl,50.901389,4.484444,38.0,Europe/Brussels,Brussels Airport (Zaventem Airport),Brussels,, Belgium
EBCI,CRL,Brussels South,50.459197,4.453817,185.0,Europe/Brussels,Brussels South Charleroi Airport,Charleroi,, Belgium
EBKT,QKT,Wevelgem,50.817222,3.2047220000000003,16.0,Europe/Brussels,Kortrijk–Wevelgem International Airport,Kortrijk,, Belgium
EBLG,LGG,Liege,50.637417,5.443222,181.0,Europe/Brussels,Liège Airport,Liège,, Belgium
EBOS,OST,Oostende,51.198889,2.862222,7.0,Europe/Brussels,Ostend–Bruges International Airport,Ostend / Bruges,, Belgium
EDAB,BBJ,Bautzen,51.193531,14.519747,161.0,Europe/Berlin,,,,
EDAC,AOC,Altenburg Nobitz,50.981817,12.506361,205.0,Europe/Berlin,Leipzig–Altenburg Airport,Altenburg, Thuringia, Germany
EDBH,BBH,Barth,54.33754,12.699705,6.0,Europe/Berlin,Stralsund–Barth Airport,Stralsund / Barth, Mecklenburg-Vorpommern, Germany
EDDC,DRS,Dresden,51.132767,13.767160999999998,222.0,Europe/Berlin,Dresden Airport,Dresden, Saxony, Germany
EDDE,ERF,Erfurt,50.979811,10.958106,306.0,Europe/Berlin,Erfurt–Weimar Airport,Erfurt, Thuringia, Germany
EDDF,FRA,Frankfurt Main,50.026421,8.543125,99.0,Europe/Berlin,Frankfurt Airport,Frankfurt, Hessen, Germany
EDDG,FMO,Munster Osnabruck,52.134642,7.684831,42.0,Europe/Berlin,Münster Osnabrück International Airport,Münster / Osnabrück (LS), North Rhine-Westphalia, Germany
EDDH,HAM,Hamburg,53.630389,9.988228,30.0,Europe/Berlin,Hamburg Airport,Hamburg,, Germany
EDDI,THF,Tempelhof,52.473025,13.403944,42.0,Europe/Berlin,,,,
EDDK,CGN,Koln Bonn,50.865917,7.142744,69.0,Europe/Berlin,Cologne Bonn Airport,Cologne / Bonn, North Rhine-Westphalia, Germany
EDDL,DUS,Dusseldorf,51.289453,6.766775,34.0,Europe/Berlin,Düsseldorf Airport,Düsseldorf, North Rhine-Westphalia, Germany
EDDM,MUC,Franz Josef Strauss,48.353783,11.786086,457.0,Europe/Berlin,Munich Airport,Munich, Bavaria, Germany
EDDN,NUE,Nurnberg,49.4987,11.066897,303.0,Europe/Berlin,Nuremberg Airport,Nuremberg, Bavaria, Germany
EDDP,LEJ,Leipzig Halle,51.432447,12.241633,121.0,Europe/Berlin,Leipzig/Halle Airport,Leipzig, Saxony / Halle, Saxony-Anhalt
EDDR,SCN,Saarbrucken,49.214553,7.109508,319.0,Europe/Berlin,Saarbrücken Airport,Saarbrücken, Saarland, Germany
EDDS,STR,Stuttgart,48.689878,9.221964,367.0,Europe/Berlin,Stuttgart Airport,Stuttgart, Baden-Württemberg, Germany
EDDT,TXL,Tegel,52.559686,13.287710999999998,32.0,Europe/Berlin,,,,
EDDV,HAJ,Hannover,52.461056000000006,9.685078,38.0,Europe/Berlin,Hannover Airport,Hanover, Lower Saxony, Germany
EDDW,BRE,Neuenland,53.0475,8.786667,6.0,Europe/Berlin,Bremen Airport,Bremen, Bremen, Germany
EDFH,HHN,Frankfurt Hahn,49.948672,7.263892,564.0,Europe/Berlin,Frankfurt–Hahn Airport,Hahn, Rhineland-Palatinate, Germany
EDFM,MHG,Mannheim City,49.472706,8.514264,88.0,Europe/Berlin,Mannheim City Airport,Mannheim, Baden-Württemberg, Germany
