icao,iata,name,lat,lon,elev,tz,name_ext,city,region,country
HAGN,GDQ,Gondar,12.5199,37.434047,1969.0,Africa/Addis_Ababa,Gondar Airport (Atse Tewodros Airport),Gondar,, Ethiopia
HAJM,JIM,Jimma,7.666094,36.816639,1705.0,Africa/Addis_Ababa,Aba Segud Airport,Jimma,, Ethiopia
HALL,LLI,Lalibella,11.975014,38.979969,1933.0,Africa/Addis_Ababa,Lalibela Airport,Lalibela,, Ethiopia
HAMK,MQX,Makale,13.467367,39.533464,2237.0,Africa/Addis_Ababa,Alula Aba Nega Airport,Mek'ele (Mekelle),, Ethiopia
HASO,ASO,Asosa,10.01855,34.586253,1535.0,Africa/Addis_Ababa,Asosa Airport,Asosa,, Ethiopia
HBBA,BJM,Bujumbura Intl,-3.3240190000000003,29.318519,779.0,Africa/Bujumbura,Bujumbura International Airport,Bujumbura,, Burundi
HCMH,HGA,Egal Intl,9.518167,44.088758,1360.0,Africa/Mogadishu,Hargeisa International Airport (Egal Int'l),Hargeisa,, Somalia
HCMI,BBO,Berbera,10.389167,44.941106,24.0,Africa/Mogadishu,Berbera Airport,Berbera,, Somalia
HCMK,KMU,Kisimayu,-0.377353,42.45923300000001,9.0,Africa/Mogadishu,Kismayo Airport (Kisimayu Airport),Kismayo,, Somalia
HEAX,ALY,Alexandria Intl,31.183903000000004,29.948889,13.0,Africa/Cairo,El Nouzha Airport,Alexandria,, Egypt
HEBL,ABS,Abu Simbel,22.375953,31.611722,150.0,Africa/Cairo,Abu Simbel Airport,Abu Simbel,, Egypt
HECA,CAI,Cairo Intl,30.121944,31.405556,66.0,Africa/Cairo,Cairo International Airport,Cairo,, Egypt
HEGN,HRG,Hurghada Intl,27.178317,33.799436,10.0,Africa/Cairo,Hurghada International Airport,Hurghada,, Egypt
HEGR,EGR,El Gora,31.068975,34.129194,92.0,Africa/Cairo,,,,
HELX,LXR,Luxor Intl,25.671028,32.706583,24.0,Africa/Cairo,Luxor International Airport,Luxor,, Egypt
HEMM,MUH,Mersa Matruh,31.325356,27.221689,22.0,Africa/Cairo,Marsa Matruh International Airport,Mersa Matruh,, Egypt
HEPS,PSD,Port Said,31.279444,32.24,6.0,Africa/Cairo,Port Said Airport[1],Port Said,, Egypt
HESC,SKV,St Catherine Intl,28.685278000000004,34.0625,1307.0,Africa/Cairo,St. Catherine International Airport,Saint Catherine,, Egypt
HESN,ASW,Aswan Intl,23.964356,32.819975,155.0,Africa/Cairo,Aswan International Airport,Aswan,, Egypt
HETR,ELT,El Tor,28.209028000000004,33.645517,17.0,Africa/Cairo,El Tor Airport,El Tor,, Egypt
HKEL,EDL,Eldoret Intl,0.404458,35.238928,2098.0,Africa/Nairobi,Eldoret International Airport,Eldoret,, Kenya
HKKI,KIS,Kisumu,-0.086139,34.728892,1147.0,Africa/Nairobi,Kisumu International Airport,Kisumu,, Kenya
HKKT,KTL,Kitale,0.971989,34.958556,1835.0,Africa/Nairobi,Kitale Airport,Kitale,, Kenya
HKLO,LOK,Lodwar,3.121967,35.608692,496.0,Africa/Nairobi,Lodwar Airport,Lodwar,, Kenya
HKLU,LAU,Lamu Manda,-2.252417,40.913097,23.0,Africa/Nairobi,Manda Airport,Lamu,, Kenya
HKMO,MBA,Mombasa Moi Intl,-4.034833,39.59425,46.0,Africa/Nairobi,Moi International Airport,Mombasa,, Kenya
HKNW,WIL,Nairobi Wilson,-1.321719,36.814833,1675.0,Africa/Nairobi,Wilson Airport,Nairobi,, Kenya
HKWJ,WJR,Wajir,1.733239,40.091606,257.0,Africa/Nairobi,Wajir Airport[1],Wajir,, Kenya
HLGT,GHT,Ghat,25.145564,10.142647,688.0,Africa/Tripoli,Ghat Airport,Ghat,, Libya
HLKF,AKF,Kufra,24.178728,23.313958,357.0,Africa/Tripoli,Kufra Airport,Kufra,, Libya
HLLB,BEN,Benina,32.096786,20.269472,115.0,Africa/Tripoli,Benina International Airport,Benghazi,, Libya
HLLS,SEB,Sebha,26.986964,14.472525,431.0,Africa/Tripoli,Sabha Airport[1],Sabha (Sebha),, Libya
HLLT,TIP,Tripoli Intl,32.663544,13.159010999999998,72.0,Africa/Tripoli,Tripoli International Airport,Tripoli,, Libya
HLTD,LTD,Ghadames East,30.151695,9.715305,338.0,Africa/Tripoli,Ghadames Airport,Ghadames,, Libya
HRYG,GYI,Gisenyi,-1.6772029999999998,29.258875,1543.0,Africa/Kigali,Gisenyi Airport,Gisenyi,, Rwanda
HRYR,KGL,Kigali Intl,-1.968628,30.13945,1486.0,Africa/Kigali,Kigali International Airport (Kanombe Airport),Kigali,, Rwanda
HRZA,KME,Kamembe,-2.462242,28.90795,1577.0,Africa/Kigali,Kamembe Airport,Cyangugu,, Rwanda
HSDN,DOG,Dongola,19.153867,30.430094,208.0,Africa/Khartoum,Dongola Airport,Dongola,, Sudan
HSFS,ELF,El Fashir,13.614892,25.32465,729.0,Africa/Khartoum,El Fasher Airport,El Fasher,, Sudan
HSKA,KSL,Kassala,15.387494,36.328842,512.0,Africa/Khartoum,Kassala Airport,Kassala,, Sudan
HSOB,EBD,El Obeid,13.153219,30.232675,549.0,Africa/Khartoum,El Obeid Airport,El Obeid,, Sudan
HSSJ,JUB,Juba,4.872006,31.601117,449.0,Africa/Juba,,,,
HSSM,MAK,Malakal,9.558969,31.652242,384.0,Africa/Juba,Malakal Airport,Malakal,, South Sudan
HSSS,KRT,Khartoum,15.589497,32.553161,311.0,Africa/Khartoum,Khartoum International Airport,Khartoum,, Sudan
HTAR,ARK,Arusha,-3.3677940000000004,36.633333,1384.0,Africa/Dar_es_Salaam,Arusha Airport,Arusha,, Tanzania
HTDA,DAR,Mwalimu Julius K Nyerere Intl,-6.878111,39.202625,47.0,Africa/Dar_es_Salaam,Julius Nyerere International Airport,Dar es Salaam,, Tanzania
HTDO,DOD,Dodoma,-6.1704360000000005,35.752578,1106.0,Africa/Dar_es_Salaam,Dodoma Airport,Dodoma,, Tanzania
HTIR,IRI,Iringa,-7.668633,35.752114,1402.0,Africa/Dar_es_Salaam,Iringa Airport (Nduli Airport),Iringa,, Tanzania
HTKJ,JRO,Kilimanjaro Intl,-3.429406,37.074461,880.0,Africa/Dar_es_Salaam,Kilimanjaro International Airport,Kilimanjaro,, Tanzania
HTLM,LKY,Lake Manyara,-3.376306,35.818278,1254.0,Africa/Dar_es_Salaam,Lake Manyara Airport,Lake Manyara,, Tanzania
HTMT,MYW,Mtwara,-10.339058,40.181781,102.0,Africa/Dar_es_Salaam,Mtwara Airport,Mtwara,, Tanzania
HTMW,MWZ,Mwanza,-2.444486,32.932666999999995,1152.0,Africa/Dar_es_Salaam,Mwanza Airport,Mwanza,, Tanzania
HTPE,PMA,Pemba,-5.257264,39.811417,15.0,Africa/Dar_es_Salaam,Pemba Airport[1],Pemba Island,, Tanzania
HTTG,TGT,Tanga,-5.092358,39.071158,41.0,Africa/Dar_es_Salaam,Tanga Airport[1],Tanga,, Tanzania
HTZA,ZNZ,Zanzibar,-6.222025,39.224886,8.0,Africa/Dar_es_Salaam,Abeid Amani Karume International Airport,Zanzibar,, Tanzania
HUEN,EBB,Entebbe Intl,0.042386,32.443503,1158.0,Africa/Kampala,Entebbe International Airport,Entebbe,, Uganda
HUSO,SRT,Soroti,1.7275779999999998,33.622861,1117.0,Africa/Kampala,Soroti Airport,Soroti,, Uganda
LATI,TIA,Tirana Rinas,41.414742,19.720561,21.0,Europe/Tirane,Tirana International Airport Nënë Tereza,Tirana,, Albania
LBBG,BOJ,Burgas,42.569583,27.515236,39.0,Europe/Sofia,Burgas Airport,Burgas,, Bulgaria
LBGO,GOZ,Gorna Oryahovitsa,43.151444,25.712889,75.0,Europe/Sofia,Gorna Oryahovitsa Airport,Gorna Oryahovitsa,, Bulgaria
LBPD,PDV,Plovdiv,42.067806,24.850833,174.0,Europe/Sofia,Plovdiv Airport,Plovdiv,, Bulgaria
LBSF,SOF,Sofia,42.695194,23.406167,526.0,Europe/Sofia,Sofia Airport,Sofia,, Bulgaria
LBWN,VAR,Varna,43.232072,27.825106,61.0,Europe/Sofia,Varna Airport,Varna,, Bulgaria
LCLK,LCA,Larnaca,34.875117,33.62485,7.0,Asia/Nicosia,Larnaca International Airport,Larnaca,, Cyprus
LCPH,PFO,Pafos Intl,34.718039000000005,32.485731,6.0,Asia/Nicosia,Paphos International Airport,Paphos,, Cyprus
LCRA,AKT,Akrotiri,34.590416,32.987860999999995,10.0,Asia/Nicosia,RAF Akrotiri,Akrotiri,, United Kingdom
LDDU,DBV,Dubrovnik,42.561353,18.268244,148.0,Europe/Zagreb,Dubrovnik Airport,Dubrovnik,, Croatia
LDOS,OSI,Osijek,45.462667,18.810156,76.0,Europe/Zagreb,Osijek Airport,Osijek,, Croatia
LDPL,PUY,Pula,44.893533000000005,13.922192,54.0,Europe/Zagreb,Pula Airport,Pula,, Croatia
LDRI,RJK,Rijeka,45.216889,14.570267,68.0,Europe/Zagreb,Rijeka Airport,Rijeka,, Croatia
LDSP,SPU,Split,43.538944,16.297964,19.0,Europe/Zagreb,Split Airport,Split,, Croatia
LDZA,ZAG,Zagreb,45.742931,16.068778,98.0,Europe/Zagreb,Franjo Tuđman Airport,Zagreb,, Croatia
LDZD,ZAD,Zadar,44.108269,15.346697,70.0,Europe/Zagreb,Zadar Airport,Zadar,, Croatia
LEAL,ALC,Alicante,38.282169,-0.558156,22.0,Europe/Madrid,Alicante–Elche Airport,Alicante, Valencia, Spain
LEAM,LEI,Almeria,36.843936,-2.370097,10.0,Europe/Madrid,Almería Airport,Almería, Andalusia, Spain
LEAS,OVD,Asturias,43.563567,-6.034622,129.0,Europe/Madrid,Asturias Airport (Oviedo Airport),Oviedo, Asturias, Spain
LEBA,ODB,Cordoba,37.842006,-4.848878,85.0,Europe/Madrid,Córdoba Airport,Córdoba, Andalusia, Spain
LEBB,BIO,Bilbao,43.301097,-2.9106080000000003,38.0,Europe/Madrid,Bilbao Airport,Bilbao, Basque Country, Spain
LEBL,BCN,Barcelona,41.297078000000006,2.078464,6.0,Europe/Madrid,Barcelona–El Prat Airport,Barcelona, Catalonia, Spain
LEBZ,BJZ,Talavera La Real,38.89125,-6.821333,176.0,Europe/Madrid,Badajoz Airport (Talavera la Real Air Base),Badajoz, Extremadura, Spain
LECO,LCG,A Coruna,43.302061,-8.377256,85.0,Europe/Madrid,A Coruña Airport,A Coruña, Galicia, Spain
LEGE,GRO,Girona,41.900969,2.7605470000000003,119.0,Europe/Madrid,Girona–Costa Brava Airport,Girona, Catalonia, Spain
LEGR,GRX,Granada,37.188731,-3.777356,558.0,Europe/Madrid,Federico García Lorca Airport (Granada Jaén Airport),Granada, Andalusia, Spain
LEIB,IBZ,Ibiza,38.872858,1.373117,6.0,Europe/Madrid,Ibiza Airport,Ibiza, Balearic Islands, Spain
LEJR,XRY,Jerez,36.744622,-6.060111,17.0,Europe/Madrid,Jerez Airport (La Parra Airport),Jerez de la Frontera, Andalusia, Spain
LELC,MJV,Murcia San Javier,37.774972,-0.812389,6.0,Europe/Madrid,Murcia–San Javier Airport,Murcia, Region of Murcia, Spain
LGHL,PKH,Alexion,37.298792,23.148986,10.0,Europe/Athens,Porto Cheli Airport,Porto Cheli (Portochelion),, Greece
LEMD,MAD,Barajas,40.493556,-3.566764,592.0,Europe/Madrid,Adolfo Suárez Madrid–Barajas Airport,Madrid,, Spain
LEMG,AGP,Malaga,36.6749,-4.499105999999999,15.0,Europe/Madrid,Málaga Airport,Málaga, Andalusia, Spain
LEMH,MAH,Menorca,39.862597,4.218647,80.0,Europe/Madrid,Menorca Airport (Mahón Airport),Menorca, Balearic Islands, Spain
LEMO,OZP,Moron Ab,37.174917,-5.615944,86.0,Europe/Madrid,Morón Air Base[1],Morón de la Frontera, Andalusia, Spain
LEPP,PNA,Pamplona,42.770039,-1.6463310000000002,442.0,Europe/Madrid,Pamplona Airport,Pamplona, Navarre, Spain
LERS,REU,Reus,41.147392,1.167172,62.0,Europe/Madrid,Reus Airport,Reus, Catalonia, Spain
LESA,SLM,Salamanca,40.952117,-5.5019860000000005,799.0,Europe/Madrid,Salamanca Airport,Salamanca, Castile and León, Spain
LESO,EAS,San Sebastian,43.356519,-1.790611,1.0,Europe/Madrid,San Sebastián Airport,San Sebastián, Basque Country, Spain
LEST,SCQ,Santiago,42.896333,-8.415144,346.0,Europe/Madrid,Santiago de Compostela Airport,Santiago de Compostela, Galicia, Spain
LESU,LEU,Seo De Urgel,42.338611,1.409167,784.0,Europe/Madrid,La Seu d'Urgell Airport,La Seu d'Urgell, Catalonia, Spain
LETO,TOJ,Torrejon,40.496747,-3.445872,596.0,Europe/Madrid,Madrid–Torrejón Airport,Madrid, Community of Madrid, Spain
LEVC,VLC,Valencia,39.489314,-0.481625,55.0,Europe/Madrid,Valencia Airport,Valencia, Valencian Community, Spain
LEVD,VLL,Valladolid,41.706111,-4.8519440000000005,846.0,Europe/Madrid,Valladolid Airport,Valladolid, Castile and León, Spain
LEVT,VIT,Vitoria,42.882836,-2.724469,511.0,Europe/Madrid,Vitoria Airport,Vitoria-Gasteiz, Basque Country, Spain
LEVX,VGO,Vigo,42.2318,-8.626775,229.0,Europe/Madrid,Vigo–Peinador Airport,Vigo, Galicia, Spain
LEXJ,SDR,Santander,43.427064,-3.820006,6.0,Europe/Madrid,Santander Airport,Santander, Cantabria, Spain
LEZG,ZAZ,Zaragoza Ab,41.666242,-1.0415530000000002,251.0,Europe/Madrid,Zaragoza Airport,Zaragoza, Aragon, Spain
LEZL,SVQ,Sevilla,37.418,-5.893106,24.0,Europe/Madrid,Seville Airport,Seville, Andalusia, Spain
LFAC,CQF,Calais Dunkerque,50.962097,1.954764,16.0,Europe/Paris,Calais–Dunkerque Airport,Calais / Dunkirk, Nord-Pas-de-Calais, France
LFAT,LTQ,Le Touquet Paris Plage,50.517385,1.620587,6.0,Europe/Paris,Le Touquet – Côte d'Opale Airport,Le Touquet-Paris-Plage, Nord-Pas-de-Calais, France
LFBA,AGF,La Garenne,44.174721000000005,0.5905560000000001,51.0,Europe/Paris,Agen La Garenne Airport,Agen, Aquitaine, France
LFBD,BOD,Merignac,44.828335,-0.7155560000000001,45.0,Europe/Paris,Bordeaux–Mérignac Airport,Bordeaux, Aquitaine, France
LFBE,EGC,Roumaniere,44.825279,0.5186109999999999,39.0,Europe/Paris,Bergerac Dordogne Périgord Airport,Bergerac, Aquitaine, France
LFBG,CNG,Chateaubernard,45.658333,-0.3175,25.0,Europe/Paris,Cognac – Châteaubernard Air Base,Cognac, Poitou-Charentes, France
LFBI,PIS,Biard,46.587745,0.306666,108.0,Europe/Paris,Poitiers–Biard Airport,Poitiers, Poitou-Charentes, France
LFBL,LIG,Bellegarde,45.862778000000006,1.1794440000000002,407.0,Europe/Paris,Limoges – Bellegarde Airport,Limoges, Limousin, France
LFBN,NIT,Souche,46.311303,-0.401503,59.0,Europe/Paris,Niort - Souché Airport[1],Niort, Poitou-Charentes, France
LFBO,TLS,Blagnac,43.629075,1.363819,132.0,Europe/Paris,Toulouse–Blagnac Airport,Toulouse, Midi-Pyrénées, France
LFBP,PUF,Pau Pyrenees,43.38,-0.418611,175.0,Europe/Paris,Pau Pyrénées Airport,Pau, Aquitaine, France
LFBT,LDE,Lourdes,43.178675,-0.006439,315.0,Europe/Paris,Tarbes–Lourdes–Pyrénées Airport,Tarbes / Lourdes, Midi-Pyrénées, France
LFBU,ANG,Brie Champniers,45.729247,0.221456,119.0,Europe/Paris,Angoulême – Cognac International Airport,Angoulême, Poitou-Charentes, France
LFSL,BVE,La Roche,45.150833,1.469167,97.0,Europe/Paris,Brive–Souillac Airport,Brive-la-Gaillarde, Limousin, France
LFBX,PGX,Bassillac,45.198055,0.8155560000000001,85.0,Europe/Paris,Périgueux Bassillac Airport,Périgueux, Aquitaine, France
LFBZ,BIQ,Anglet,43.468419,-1.523325,67.0,Europe/Paris,Biarritz Pays Basque Airport,Biarritz, Aquitaine, France
LFCH,XAC,La Teste De Buch,44.59639,-1.110833,15.0,Europe/Paris,,,,
LFCI,LBI,Le Sequestre,43.913887,2.1130560000000003,161.0,Europe/Paris,Le Sequestre Airport,Albi, Midi-Pyrénées, France
LFCK,DCM,Mazamet,43.55625,2.289183,226.0,Europe/Paris,Castres–Mazamet Airport,Castres, Midi-Pyrénées, France
LFCR,RDZ,Marcillac,44.407869,2.482672,573.0,Europe/Paris,Rodez–Marcillac Airport,Rodez, Midi-Pyrénées, France
LFCY,RYN,Medis,45.628056,-0.9725,13.0,Europe/Paris,Royan – Médis Aerodrome,Royan, Poitou-Charentes, France
LFDN,RCO,St Agnant,45.887779,-0.983056,19.0,Europe/Paris,Rochefort – Saint-Agnant Airport[1],Rochefort, Poitou-Charentes, France
LFGA,CMR,Houssen,48.109853,7.359011,183.0,Europe/Paris,Colmar – Houssen Airport,Colmar, Alsace, France
LFGJ,DLE,Tavaux,47.039014,5.42725,188.0,Europe/Paris,Dole–Jura Airport,Dole, Franche-Comté, France
LFHO,OBS,Ardeche Meridionale,44.544236,4.372192,273.0,Europe/Paris,Aubenas Aerodrome[1] (Ardèche Méridionale Aerodrome),Aubenas, Rhône-Alpes, France
LFHP,LPY,Loudes,45.080689,3.762889,824.0,Europe/Paris,Le Puy – Loudes Airport,Le Puy-en-Velay, Auvergne, France
LFHS,XBK,Ceyzeriat,46.20089,5.292028,250.0,Europe/Paris,,,,
LFHV,XVF,Tarare,45.901947,4.634906,297.0,Europe/Paris,,,,
LFHY,XMU,Montbeugny,46.534581,3.423725,271.0,Europe/Paris,,,,
LFJL,ETZ,Metz Nancy Lorraine,48.982142,6.2513190000000005,264.0,Europe/Paris,Metz–Nancy–Lorraine Airport,Metz / Nancy, Lorraine, France
LFKB,BIA,Poretta,42.552664,9.483731,15.0,Europe/Paris,Bastia – Poretta Airport,Bastia, Corsica, France
LFKC,CLY,Saint Catherine,42.530753,8.793189,18.0,Europe/Paris,Calvi – Sainte-Catherine Airport,Calvi, Corsica, France
LFKF,FSC,Sud Corse,41.500557,9.097777,17.0,Europe/Paris,Figari–Sud Corse Airport,Figari, Corsica, France
LFKJ,AJA,Campo Dell Oro,41.923637,8.802916999999997,9.0,Europe/Paris,Ajaccio Napoleon Bonaparte Airport,Ajaccio, Corsica, France
LFKS,SOZ,Solenzara,41.924416,9.406,12.0,Europe/Paris,Solenzara Air Base[1],Sari-Solenzara, Corsica, France
LFLA,AUF,Branches,47.850193,3.497111,119.0,Europe/Paris,Auxerre – Branches Aerodrome,Auxerre, Burgundy, France
LFLB,CMF,Aix Les Bains,45.63805,5.880225,180.0,Europe/Paris,Chambéry-Savoie Airport,Chambéry, Rhône-Alpes, France
LFLC,CFE,Auvergne,45.786661,3.169169,320.0,Europe/Paris,Clermont-Ferrand Auvergne Airport,Clermont-Ferrand, Auvergne, France
LFLD,BOU,Bourges,47.058056,2.370278,156.0,Europe/Paris,Bourges Airport,Bourges, Centre-Val de Loire, France
LFLH,XCD,Champforgeuil,46.826108000000005,4.817633,178.0,Europe/Paris,,,,
LFLI,QNJ,Annemasse,46.191972,6.2683860000000005,480.0,Europe/Paris,,,,
LFLL,LYS,Saint Exupery,45.726387,5.090833,239.0,Europe/Paris,Lyon–Saint-Exupéry Airport,Lyon, Rhône-Alpes, France
LFLM,QNX,Charnay,46.295103000000005,4.795767,220.0,Europe/Paris,,,,
LFLO,RNE,Renaison,46.058334,4.001389,320.0,Europe/Paris,Roanne Renaison Airport,Roanne, Rhône-Alpes, France
LFLP,NCY,Meythet,45.929233,6.098764,466.0,Europe/Paris,Annecy – Haute-Savoie – Mont Blanc Airport,Annecy, Rhône-Alpes, France
LFLS,GNB,Saint Geoirs,45.362944,5.329375,379.0,Europe/Paris,Grenoble–Isère Airport,Grenoble, Rhône-Alpes, France
LFLT,MCU,Domerat,46.352525,2.5704860000000003,214.0,Europe/Paris,,,,
LFLU,VAF,Chabeuil,44.921594,4.9699,127.0,Europe/Paris,Valence-Chabeuil Airport,Valence, Rhône-Alpes, France
LFLV,VHY,Charmeil,46.169689,3.403736,247.0,Europe/Paris,Vichy — Charmeil Airport[1],Vichy, Auvergne, France
LFLW,AUR,Aurillac,44.891388,2.421944,628.0,Europe/Paris,Aurillac – Tronquières Airport,Aurillac, Auvergne, France
LFLX,CHR,Deols,46.862194,1.7306669999999995,138.0,Europe/Paris,"Châteauroux-Centre ""Marcel Dassault"" Airport",Châteauroux, Centre-Val de Loire, France
LFLY,LYN,Bron,45.727172,4.944275,200.0,Europe/Paris,Lyon–Bron Airport,Lyon, Rhône-Alpes, France
LFMA,QXB,Aix Les Milles,43.505554,5.367778,102.0,Europe/Paris,,,,
LFMD,CEQ,Mandelieu,43.54205,6.953478,13.0,Europe/Paris,Cannes – Mandelieu Airport,Cannes, Provence-Alpes-Côte d'Azur, France
LFMH,EBU,Boutheon,45.540554,4.296389,380.0,Europe/Paris,Saint-Étienne–Bouthéon Airport,Saint-Étienne, Rhône-Alpes, France
LFMK,CCF,Salvaza,43.215978,2.306317,120.0,Europe/Paris,Carcassonne Airport,Carcassonne, Languedoc-Roussillon, France
LFML,MRS,Provence,43.435555,5.213611,11.0,Europe/Paris,Marseille Provence Airport,Marseille, Provence-Alpes-Côte d'Azur, France
LFMN,NCE,Cote D\\'Azur,43.658411,7.215872,4.0,Europe/Paris,Nice Côte d'Azur Airport,Nice, Provence-Alpes-Côte d'Azur, France
LFMP,PGF,Rivesaltes,42.740442,2.870667,29.0,Europe/Paris,Perpignan–Rivesaltes Airport,Perpignan, Languedoc-Roussillon, France
LFMQ,CTT,Le Castellet,43.252506,5.785189,412.0,Europe/Paris,Le Castellet Airport,Le Castellet, Provence-Alpes-Côte d'Azur, France
LFMT,MPL,Mediterranee,43.576194,3.963014,4.0,Europe/Paris,Montpellier–Méditerranée Airport (Fréjorgues Airport),Montpellier, Languedoc-Roussillon, France
LFMU,BZR,Vias,43.323522,3.353903,10.0,Europe/Paris,Béziers Cap d'Agde Airport,Béziers, Languedoc-Roussillon, France
LFMV,AVN,Caumont,43.9073,4.901831,28.0,Europe/Paris,Avignon – Provence Airport,Avignon, Provence-Alpes-Côte d'Azur, France
LFNB,MEN,Brenoux,44.502108,3.5328190000000004,999.0,Europe/Paris,Brenoux Airport,Mende, Languedoc-Roussillon, France
LFOB,BVA,Tille,49.454444,2.112778,88.0,Europe/Paris,Beauvais–Tillé Airport,Beauvais, Picardy, France
LFOH,LEH,Octeville,49.533889,0.088056,108.0,Europe/Paris,Le Havre – Octeville Airport,Le Havre, Upper Normandy, France
LFOJ,ORE,Bricy,47.987778000000006,1.7605560000000002,124.0,Europe/Paris,,,,
LFOK,XCR,Vatry,48.776072,4.184492,161.0,Europe/Paris,Châlons Vatry Airport,Châlons-en-Champagne, Champagne-Ardenne, France
LFOP,URO,Vallee De Seine,49.384172,1.1748,154.0,Europe/Paris,Rouen Airport (Vallée de Seine Airport),Rouen, Upper Normandy, France
LFOT,TUF,Val De Loire,47.432222,0.7276060000000001,114.0,Europe/Paris,Tours Val de Loire Airport,Tours, Centre-Val de Loire, France
LFOU,CET,Le Pontreau,47.082136,-0.877064,135.0,Europe/Paris,Cholet Le Pontreau Airport,Cholet, Pays de la Loire, France
LFOV,LVA,Entrammes,48.031361,-0.7429859999999999,90.0,Europe/Paris,Laval Entrammes Airport,Laval, Pays de la Loire, France
LFPB,LBG,Le Bourget,48.969444,2.441389,55.0,Europe/Paris,Paris–Le Bourget Airport,Paris, Île-de-France, France
LFPC,CSF,Creil,49.253547,2.519139,89.0,Europe/Paris,Creil Air Base,Creil, Picardy, France
LFPG,CDG,Charles De Gaulle,49.012779,2.55,102.0,Europe/Paris,Charles de Gaulle Airport (Roissy Airport),Paris, Île-de-France, France
LFPN,TNF,Toussus Le Noble,48.751922,2.106189,160.0,Europe/Paris,Toussus-le-Noble Airport,Toussus-le-Noble, Île-de-France, France
LFPO,ORY,Orly,48.725278,2.359444,83.0,Europe/Paris,Orly Airport,Paris, Île-de-France, France
LFPT,POX,Cormeilles En Vexin,49.096647,2.040833,86.0,Europe/Paris,Pontoise – Cormeilles Aerodrome,Paris, Île-de-France, France
LFQB,QYR,Barberey,48.322136,4.016703,114.0,Europe/Paris,,,,
LFQG,NVS,Fourchambault,47.002625,3.1133330000000004,163.0,Europe/Paris,Nevers - Fourchambault Airport[1],Nevers, Burgundy, France
LFQQ,LIL,Lesquin,50.561942,3.089444,45.0,Europe/Paris,Lille Airport (Lille–Lesquin Airport),Lille, Nord-Pas-de-Calais, France
LFRB,BES,Guipavas,48.447911,-4.418539,96.0,Europe/Paris,Brest Bretagne Airport,Brest, Brittany, France
LFRC,CER,Maupertus,49.650106,-1.470281,132.0,Europe/Paris,Cherbourg – Maupertus Airport,Cherbourg-Octeville, Lower Normandy, France
LFRD,DNR,Pleurtuit,48.587683,-2.079958,55.0,Europe/Paris,Dinard–Pleurtuit–Saint-Malo Airport,Dinard / Saint-Malo, Brittany, France
LFRF,GFR,Granville,48.883057,-1.564167,12.0,Europe/Paris,Granville–Mont-Saint-Michel Aerodrome [fr],Granville, Lower Normandy, France
LFRG,DOL,St Gatien,49.365339,0.154306,141.0,Europe/Paris,Deauville – Saint-Gatien Airport,Deauville, Lower Normandy, France
LFRH,LRT,Lann Bihoue,47.760555,-3.44,54.0,Europe/Paris,Lorient South Brittany Airport (Lann-Bihoué Airport),Lorient, Brittany, France
LFRI,EDM,Les Ajoncs,46.701944,-1.378625,81.0,Europe/Paris,La Roche-sur-Yon Aerodrome,La Roche-sur-Yon, Pays de la Loire, France
LFRK,CFR,Carpiquet,49.173333,-0.45,66.0,Europe/Paris,Caen – Carpiquet Airport,Caen, Lower Normandy, France
LFRM,LME,Arnage,47.948611,0.201667,50.0,Europe/Paris,Le Mans Arnage Airport,Le Mans, Pays de la Loire, France
LFRN,RNS,St Jacques,48.069508,-1.734794,31.0,Europe/Paris,Rennes–Saint-Jacques Airport,Rennes, Brittany, France
LFRO,LAI,Lannion,48.754378,-3.471656,75.0,Europe/Paris,Lannion – Côte de Granit Airport,Lannion, Brittany, France
LFRQ,UIP,Pluguffan,47.974981,-4.167786,85.0,Europe/Paris,Quimper–Cornouaille Airport (Pluguffan),Quimper, Brittany, France
LFRS,NTE,Nantes Atlantique,47.153189000000005,-1.610725,28.0,Europe/Paris,Nantes Atlantique Airport,Nantes, Pays de la Loire, France
LFRT,SBK,Armor,48.537777,-2.854445,132.0,Europe/Paris,Saint-Brieuc – Armor Airport,Saint-Brieuc, Brittany, France
LFRU,MXN,Ploujean,48.603222,-3.815783,90.0,Europe/Paris,Morlaix – Ploujean Airport,Morlaix, Brittany, France
LFRV,VNE,Meucon,47.723303,-2.718561,152.0,Europe/Paris,Meucon Airport,Vannes, Brittany, France
LFRZ,SNR,Montoir,47.312189,-2.149181,10.0,Europe/Paris,Saint-Nazaire Montoir Airport,Saint-Nazaire, Pays de la Loire, France
LFSB,MLH,Bale Mulhouse,47.589583000000005,7.529914,262.0,Europe/Paris,EuroAirport Basel-Mulhouse-Freiburg,Basel,, Switzerland
LFSB,MLH,Bale Mulhouse,47.589583000000005,7.529914,262.0,Europe/Paris,EuroAirport Basel Mulhouse Freiburg,Mulhouse, Alsace, France
LFSD,DIJ,Longvic,47.26889,5.09,212.0,Europe/Paris,Dijon Air Base,Dijon, Burgundy, France
LFSF,MZM,Frescaty,49.071667,6.131667,172.0,Europe/Paris,Metz-Frescaty Air Base,Metz, Lorraine, France
LFSG,EPL,Mirecourt,48.324961,6.0699830000000015,311.0,Europe/Paris,Épinal – Mirecourt Airport,Épinal / Mirecourt, Lorraine, France
LFSN,ENC,Essey,48.692069,6.2304580000000005,201.0,Europe/Paris,Nancy-Essey Airport,Nancy, Lorraine, France
