-90 -180 -1
-90 -177 -1
-90 -175 -1
-90 -172 -1
-90 -170 -1
-90 -167 -1
-90 -165 -1
-90 -162 -1
-90 -160 -1
-90 -157 -1
-90 -155 -1
-90 -152 -1
-90 -150 -1
-90 -147 -1
-90 -145 -1
-90 -142 -1
-90 -140 -1
-90 -137 -1
-90 -135 -1
-90 -132 -1
-90 -130 -1
-90 -127 -1
-90 -125 -1
-90 -122 -1
-90 -120 -1
-90 -117 -1
-90 -115 -1
-90 -112 -1
-90 -110 -1
-90 -107 -1
-90 -105 -1
-90 -102 -1
-90 -100 -1
-90 -97 -1
-90 -95 -1
-90 -92 -1
-90 -90 -1
-90 -87 -1
-90 -85 0
-90 -82 0
-90 -80 0
-90 -77 0
-90 -75 0
-90 -72 0
-90 -70 0
-90 -67 0
-90 -65 0
-90 -62 0
-90 -60 0
-90 -57 0
-90 -55 0
-90 -52 0
-90 -50 0
-90 -47 0
-90 -45 0
-90 -42 0
-90 -40 0
-90 -37 0
-90 -35 0
-90 -32 0
-90 -30 0
-90 -27 0
-90 -25 0
-90 -22 0
-90 -20 0
-90 -17 0
-90 -15 0
-90 -12 0
-90 -10 0
-90 -7 0
-90 -5 0
-90 -2 0
-90 0 0
-90 2 0
-90 5 0
-90 7 0
-90 10 0
-90 12 0
-90 15 0
-90 17 0
-90 20 0
-90 22 0
-90 25 0
-90 27 0
-90 30 0
-90 32 0
-90 35 0
-90 37 0
-90 40 0
-90 42 0
-90 45 0
-90 47 0
-90 50 0
-90 52 0
-90 55 0
-90 57 0
-90 60 0
-90 62 0
-90 65 0
-90 67 0
-90 70 0
-90 72 0
-90 75 0
-90 77 0
-90 80 0
-90 82 0
-90 85 0
-90 87 0
-90 90 0
-90 92 0
-90 95 0
-90 97 0
-90 100 0
-90 102 0
-90 105 0
-90 107 0
-90 110 0
-90 112 0
-90 115 0
-90 117 0
-90 120 0
-90 122 -1
-90 125 -1
-90 127 -1
-90 130 -1
-90 132 -1
-90 135 -1
-90 137 -1
-90 140 -1
-90 142 -1
-90 145 -1
-90 147 -1
-90 150 -1
-90 152 -1
-90 155 -1
-90 157 -1
-90 160 -1
-90 162 -1
-90 165 -1
-90 167 -1
-90 170 -1
-90 172 -1
-90 175 -1
-90 177 -1
-87 -180 -3
-87 -177 -3
-87 -175 -3
-87 -172 -3
-87 -170 -3
-87 -167 -3
-87 -165 -3
-87 -162 -3
-87 -160 -3
-87 -157 -3
-87 -155 -3
-87 -152 -3
-87 -150 -3
-87 -147 -3
-87 -145 -3
-87 -142 -3
-87 -140 -3
-87 -137 -3
-87 -135 -3
-87 -132 -3
-87 -130 -3
-87 -127 -3
-87 -125 -3
-87 -122 -3
-87 -120 -2
-87 -117 -2
-87 -115 -2
-87 -112 -2
-87 -110 -2
-87 -107 -2
-87 -105 -2
-87 -102 -2
-87 -100 -2
-87 -97 -2
-87 -95 -2
-87 -92 -2
-87 -90 -2
-87 -87 -2
-87 -85 -2
-87 -82 -2
-87 -80 -2
